id_venda,data_venda,mes,ano,trimestre,dia_semana,categoria,produto,marca,preco_unitario,quantidade,desconto_percentual,valor_desconto,valor_total,custo_unitario,margem_bruta,forma_pagamento,regiao,cidade,canal_venda,avaliacao_cliente,devolvido
VND000001,2025-01-01,1,2025,1,Wednesday,Lavadoras,Lava e Seca 11kg,Samsung,3002.33,2,0,0.0,6004.66,1547.57,2909.52,Financiamento,Nordeste,Salvador,E-commerce,3.0,0
VND000002,2025-01-01,1,2025,1,Wednesday,Smartphones,Smartphone Entry 64GB,Realme,760.88,2,0,0.0,1521.76,376.66,768.44,Financiamento,Sudeste,Belo Horizonte,Loja Fisica,5.0,0
VND000003,2025-01-01,1,2025,1,Wednesday,Lavadoras,Lava e Seca 13kg,Electrolux,3813.36,2,5,381.34,7245.38,1966.28,3312.82,Cartao Credito,Centro-Oeste,Cuiaba,E-commerce,5.0,0
VND000004,2025-01-01,1,2025,1,Wednesday,Refrigeradores,Geladeira 400L Duplex,Electrolux,3045.88,1,10,304.59,2741.29,1544.02,1197.27,Boleto,Nordeste,Maceio,E-commerce,5.0,0
VND000005,2025-01-01,1,2025,1,Wednesday,Lavadoras,Lavadora 10kg,Samsung,1323.04,1,5,66.15,1256.89,701.55,555.34,Cartao Credito,Sudeste,Rio de Janeiro,Televendas,5.0,0
VND000006,2025-01-01,1,2025,1,Wednesday,Lavadoras,Lava e Seca 11kg,Consul,2994.05,2,10,598.81,5389.29,1550.29,2288.71,Cartao Credito,Sul,Porto Alegre,E-commerce,5.0,0
VND000007,2025-01-01,1,2025,1,Wednesday,Televisores,"TV 75"" 4K Smart",TCL,8505.3,2,20,3402.12,13608.48,4245.14,5118.2,Cartao Credito,Nordeste,Fortaleza,Loja Fisica,5.0,1
VND000008,2025-01-01,1,2025,1,Wednesday,Lavadoras,Lavadora 10kg,Brastemp,1393.76,1,15,209.06,1184.7,746.32,438.38,Cartao Debito,Nordeste,Salvador,Loja Fisica,,0
VND000009,2025-01-01,1,2025,1,Wednesday,Micro-ondas,Micro-ondas 30L,LG,569.65,1,0,0.0,569.65,295.61,274.04,Cartao Credito,Centro-Oeste,Goiania,E-commerce,3.0,0
VND000010,2025-01-01,1,2025,1,Wednesday,Aspiradores,Aspirador Robot,Philips,1553.43,1,5,77.67,1475.76,814.84,660.92,Cartao Credito,Sudeste,Belo Horizonte,App Mobile,3.0,0
VND000011,2025-01-01,1,2025,1,Wednesday,Aspiradores,Aspirador Robot,Electrolux,1510.25,1,0,0.0,1510.25,844.92,665.33,Cartao Credito,Centro-Oeste,Anapolis,App Mobile,4.0,0
VND000012,2025-01-01,1,2025,1,Wednesday,Micro-ondas,Micro-ondas 32L Grill,Consul,725.21,3,10,217.56,1958.07,384.59,804.3,Cartao Credito,Centro-Oeste,Brasilia,E-commerce,,0
VND000013,2025-01-01,1,2025,1,Wednesday,Tablets,"Tablet 8"" 32GB",Samsung,720.54,1,0,0.0,720.54,379.09,341.45,Cartao Credito,Sudeste,Rio de Janeiro,E-commerce,4.0,0
VND000014,2025-01-01,1,2025,1,Wednesday,Micro-ondas,Micro-ondas 32L Grill,Electrolux,735.2,1,0,0.0,735.2,382.14,353.06,PIX,Sul,Porto Alegre,E-commerce,5.0,0
VND000015,2025-01-01,1,2025,1,Wednesday,Televisores,"TV 43"" 4K",LG,1801.28,1,10,180.13,1621.15,987.99,633.16,Cartao Debito,Norte,Macapa,Loja Fisica,5.0,0
