ID,Marca,Modelo,Ano,Cor,Combustível,Potência (cv),Número de Portas,Quilômetros,Condição,Garantia (meses),Cidade,Estado,Preço (R$)
1,Hyundai,i30,2023,Laranja,Gasolina,130,4,337,Novo,12,Fortaleza,CE,13211.79
2,BMW,520i,2020,Marrom,Flex,200,5,15697,Usado - Como Novo,48,Belo Horizonte,MG,44538.06
3,Fiat,Doblo,2017,Laranja,Gasolina,110,4,191,Novo,6,Belo Horizonte,MG,6645.73
4,Ford,Ecosport,2023,Azul,Flex,85,2,77528,Usado - Bom Estado,24,São Paulo,SP,6732.0
5,Honda,CR-V,2015,Azul,Gasolina,120,4,65998,Usado - Bom Estado,0,Salvador,BA,6258.04
6,Honda,CR-V,2014,Marrom,Flex,120,4,7856,Usado - Como Novo,36,Belém,PA,9424.17
7,Toyota,Corolla,2019,Prata,Gasolina,100,4,183764,Usado - Regular,12,Florianópolis,SC,4130.11
8,Kia,Picanto,2014,Cinza,Flex,110,2,313,Novo,0,Curitiba,PR,6867.88
9,Ford,Ecosport,2012,Beige,Flex,100,5,16369,Usado - Como Novo,36,Curitiba,PR,5269.19
10,Fiat,500,2015,Marrom,Híbrido,100,5,11132,Usado - Como Novo,36,Curitiba,PR,5447.98
11,Toyota,Hilux,2022,Laranja,Gasolina,180,5,48590,Usado - Bom Estado,0,Fortaleza,CE,10589.87
12,Audi,A3,2024,Beige,Flex,320,4,1761,Usado - Como Novo,12,Rio de Janeiro,RJ,61390.19
13,Kia,Seltos,2016,Prata,Flex,110,4,20,Novo,24,Fortaleza,CE,9087.25
14,Honda,Fit,2016,Beige,Flex,80,4,21974,Usado - Como Novo,6,Porto Alegre,RS,9202.81
15,Honda,Civic,2016,Branco,Elétrico,200,5,25883,Usado - Como Novo,0,Goiânia,GO,11624.77
16,Honda,CR-V,2019,Preto,Flex,200,4,350,Novo,6,Belo Horizonte,MG,14293.0
17,Volkswagen,Polo,2019,Vermelho,Gasolina,85,4,254,Novo,48,Goiânia,GO,11339.19
18,Chevrolet,Trax,2023,Beige,Gasolina,75,2,30259,Usado - Como Novo,6,Porto Alegre,RS,8929.46
19,Hyundai,Creta,2024,Laranja,Híbrido,85,5,78009,Usado - Bom Estado,36,Rio de Janeiro,RJ,9660.22
20,Volkswagen,T-Cross,2015,Azul,Flex,150,2,27323,Usado - Como Novo,36,Florianópolis,SC,7023.05
21,Ford,Fusion,2020,Verde,Diesel,150,4,33649,Usado - Como Novo,48,Salvador,BA,10571.95
22,Honda,Accord,2012,Beige,Flex,150,5,434,Novo,48,Goiânia,GO,11237.8
23,Volkswagen,Polo,2016,Azul,Gasolina,85,2,25718,Usado - Como Novo,48,Belém,PA,7176.01
24,Hyundai,Creta,2016,Prata,Gasolina,60,4,32160,Usado - Como Novo,0,Manaus,AM,6775.25
25,Hyundai,i30,2016,Prata,Flex,110,2,218,Novo,6,Goiânia,GO,8240.02
26,Nissan,Kicks,2019,Cinza,Gasolina,100,4,250,Novo,48,Belém,PA,10885.52
27,Honda,CR-V,2020,Marrom,Gasolina,120,4,322,Novo,12,Belo Horizonte,MG,14975.26
28,Chevrolet,Onix,2014,Vermelho,Flex,150,4,51516,Usado - Bom Estado,0,Rio de Janeiro,RJ,4278.36
29,Ford,Fusion,2020,Prata,Flex,110,2,34780,Usado - Como Novo,48,Belém,PA,8332.01
30,Toyota,Hilux,2024,Vermelho,Flex,80,4,36083,Usado - Como Novo,12,Curitiba,PR,13404.27
31,Ford,Ecosport,2022,Prata,Flex,85,4,485,Novo,0,Goiânia,GO,12555.08
32,Honda,Civic,2019,Marrom,Flex,80,4,61583,Usado - Bom Estado,6,Salvador,BA,7733.26
33,Toyota,RAV4,2014,Cinza,Gasolina,100,4,16913,Usado - Como Novo,48,Salvador,BA,9061.8
34,BMW,320i,2013,Beige,Flex,230,2,60,Novo,36,Goiânia,GO,39088.01
35,Audi,Q3,2015,Vermelho,Flex,300,4,102853,Usado - Bom Estado,48,Goiânia,GO,22150.95
36,Nissan,Kicks,2024,Prata,Diesel,100,4,23763,Usado - Como Novo,12,Curitiba,PR,9289.57
37,Volkswagen,T-Cross,2023,Prata,Gasolina,130,4,99922,Usado - Bom Estado,6,Manaus,AM,8066.8
38,Toyota,Corolla,2013,Prata,Híbrido,120,4,55408,Usado - Bom Estado,0,Florianópolis,SC,6578.17
39,Ford,Focus,2015,Laranja,Elétrico,100,2,227553,Usado - Regular,6,Porto Alegre,RS,4000.0
40,Hyundai,i30,2016,Prata,Diesel,85,5,46831,Usado - Bom Estado,0,Goiânia,GO,5413.22
41,Honda,CR-V,2013,Prata,Flex,200,4,313,Novo,24,Fortaleza,CE,12668.34
42,Chevrolet,Trax,2023,Verde,Diesel,85,4,100564,Usado - Bom Estado,36,Recife,PE,7402.19
43,Toyota,RAV4,2019,Vermelho,Diesel,80,4,40156,Usado - Bom Estado,36,Goiânia,GO,8294.94
44,Mercedes,A 200,2012,Beige,Elétrico,300,4,231,Novo,36,Florianópolis,SC,41680.96
45,Volkswagen,Tiguan,2014,Prata,Flex,100,4,31391,Usado - Como Novo,12,São Paulo,SP,6699.78
46,Ford,Fusion,2018,Verde,Diesel,150,4,34457,Usado - Como Novo,12,São Paulo,SP,9330.49
47,Volkswagen,T-Cross,2021,Prata,Diesel,130,4,14,Novo,0,Salvador,BA,12707.17
48,Chevrolet,Onix,2012,Azul,Gasolina,100,4,31,Novo,24,Recife,PE,6958.72
49,Chevrolet,Equinox,2024,Branco,Diesel,60,4,95041,Usado - Bom Estado,12,Porto Alegre,RS,6701.89
50,Honda,Civic,2022,Azul,Flex,100,4,297173,Usado - Regular,0,Recife,PE,4000.0
51,Audi,Q3,2013,Cinza,Diesel,320,4,15259,Usado - Como Novo,36,Curitiba,PR,35044.26
52,Nissan,Kicks,2014,Beige,Diesel,75,2,291,Novo,36,Fortaleza,CE,7902.31
53,BMW,X1,2025,Preto,Flex,150,2,136996,Usado - Regular,24,Goiânia,GO,18479.51
54,Mercedes,E 350,2025,Preto,Elétrico,300,5,120,Novo,0,Goiânia,GO,69293.03
55,Ford,Fusion,2013,Laranja,Híbrido,85,4,15220,Usado - Como Novo,24,Rio de Janeiro,RJ,6973.14
56,BMW,X1,2013,Marrom,Flex,180,4,6877,Usado - Como Novo,0,Fortaleza,CE,27557.36
57,Toyota,Hilux,2023,Branco,Flex,200,4,415,Novo,36,Florianópolis,SC,20604.18
58,Honda,CR-V,2022,Preto,Diesel,80,4,113042,Usado - Bom Estado,0,Fortaleza,CE,8259.92
59,Toyota,Hilux,2017,Preto,Gasolina,150,4,133882,Usado - Regular,36,Rio de Janeiro,RJ,4344.59
60,Volkswagen,Gol,2018,Marrom,Gasolina,130,4,94848,Usado - Bom Estado,24,Recife,PE,5755.33
61,Hyundai,Bayon,2017,Beige,Elétrico,130,2,232788,Usado - Regular,48,Goiânia,GO,4000.0
62,Volkswagen,Tiguan,2022,Cinza,Híbrido,60,4,403,Novo,12,Fortaleza,CE,14074.72
63,Nissan,X-Trail,2017,Laranja,Gasolina,60,4,95264,Usado - Bom Estado,0,Fortaleza,CE,4151.48
64,Volkswagen,T-Cross,2020,Beige,Flex,60,4,10140,Usado - Como Novo,36,Florianópolis,SC,9758.82
65,Volkswagen,T-Cross,2019,Prata,Gasolina,110,4,12651,Usado - Como Novo,24,São Paulo,SP,8935.48
66,Chevrolet,Equinox,2025,Prata,Diesel,85,5,240,Novo,24,São Paulo,SP,13962.92
67,Honda,Fit,2019,Branco,Elétrico,80,4,259376,Usado - Regular,0,Porto Alegre,RS,4129.0
68,Nissan,Kicks,2017,Verde,Flex,130,2,94775,Usado - Bom Estado,12,São Paulo,SP,4628.85
69,Toyota,Camry,2016,Branco,Gasolina,100,4,10036,Usado - Como Novo,0,Recife,PE,9383.91
70,Audi,TT,2020,Preto,Gasolina,180,2,24599,Usado - Como Novo,0,Goiânia,GO,32283.29
71,Nissan,Kicks,2023,Beige,Diesel,130,4,101804,Usado - Bom Estado,24,Rio de Janeiro,RJ,7021.6
72,Honda,CR-V,2013,Branco,Flex,180,4,252981,Usado - Regular,12,Recife,PE,4000.0
73,Toyota,Corolla,2018,Vermelho,Híbrido,180,5,101546,Usado - Bom Estado,24,Florianópolis,SC,8913.79
74,Nissan,Sentra,2017,Laranja,Gasolina,130,4,10451,Usado - Como Novo,48,Curitiba,PR,7693.89
75,Fiat,Uno,2018,Verde,Híbrido,100,4,39,Novo,6,Fortaleza,CE,8670.2
76,Fiat,Palio,2023,Verde,Flex,60,4,92,Novo,24,Curitiba,PR,10132.15
77,Nissan,Leaf,2015,Prata,Diesel,75,5,473,Novo,24,Salvador,BA,8011.38
78,Toyota,RAV4,2020,Azul,Híbrido,100,4,36327,Usado - Como Novo,36,Florianópolis,SC,13379.57
79,Volkswagen,Polo,2018,Vermelho,Híbrido,85,4,10461,Usado - Como Novo,6,Porto Alegre,RS,8701.92
80,Toyota,Yaris,2013,Verde,Híbrido,150,4,90159,Usado - Bom Estado,48,Belo Horizonte,MG,7187.75
81,Kia,Soul,2024,Beige,Flex,110,4,291140,Usado - Regular,24,Porto Alegre,RS,4000.0
82,Ford,Fusion,2015,Beige,Gasolina,75,4,250398,Usado - Regular,0,Salvador,BA,4000.0
83,Volkswagen,Tiguan,2016,Marrom,Flex,60,4,58502,Usado - Bom Estado,0,Belém,PA,5441.24
84,Toyota,RAV4,2013,Marrom,Flex,120,4,278,Novo,48,Recife,PE,10514.08
85,Volkswagen,Tiguan,2021,Beige,Flex,75,2,443,Novo,6,Porto Alegre,RS,11258.71
86,Volkswagen,Polo,2019,Branco,Diesel,75,2,278462,Usado - Regular,0,Recife,PE,4000.0
87,Fiat,Punto,2012,Beige,Elétrico,75,2,38747,Usado - Como Novo,24,São Paulo,SP,4809.5
88,Ford,Ecosport,2014,Vermelho,Gasolina,110,4,9379,Usado - Como Novo,0,Fortaleza,CE,6419.46
89,Mercedes,Sprinter,2025,Prata,Elétrico,230,5,280,Novo,6,Curitiba,PR,66815.6
90,Hyundai,Bayon,2012,Azul,Flex,75,4,24211,Usado - Como Novo,24,Belém,PA,6373.44
91,Toyota,Camry,2016,Preto,Elétrico,180,2,37455,Usado - Como Novo,48,Goiânia,GO,11405.8
92,Fiat,500,2019,Verde,Flex,60,4,15096,Usado - Como Novo,0,Goiânia,GO,6647.08
93,Fiat,Punto,2018,Laranja,Gasolina,75,4,90246,Usado - Bom Estado,0,Curitiba,PR,4000.0
94,Chevrolet,Equinox,2020,Azul,Gasolina,85,4,28622,Usado - Como Novo,36,São Paulo,SP,7687.43
95,Nissan,Kicks,2013,Prata,Híbrido,100,4,32939,Usado - Como Novo,24,São Paulo,SP,6081.61
96,Chevrolet,Trax,2023,Marrom,Híbrido,150,4,154,Novo,6,Florianópolis,SC,14619.07
97,Chevrolet,Trax,2019,Beige,Flex,130,4,189,Novo,6,Manaus,AM,11268.56
98,Hyundai,HB20,2019,Branco,Flex,85,5,4875,Usado - Como Novo,48,Belo Horizonte,MG,8816.25
99,Toyota,Camry,2025,Marrom,Diesel,180,5,86,Novo,6,Manaus,AM,20579.03
100,Toyota,Camry,2017,Prata,Gasolina,180,2,39497,Usado - Como Novo,24,Fortaleza,CE,9545.1
