ClienteID,Idade,Genero,EstadoCivil,Dependentes,Escolaridade,RendaMensal,TipoEmprego,TempoEmprego,TipoCredito,ValorCredito,Prazo,HistoricoCredito,Inadimplente,Score
CLI000001,22,Masculino,Solteiro,0,Médio,3131,Servidor Público,1,Veículo,65086,43,Regular,Sim,596
CLI000002,75,Feminino,Divorciado,3,Médio,1958,Aposentado,0,Veículo,66365,33,Ruim,Sim,300
CLI000003,40,Masculino,Solteiro,0,Pós-graduação,6651,Servidor Público,16,Veículo,42136,28,Ruim,Sim,451
CLI000004,20,Masculino,Solteiro,2,Médio,3404,Autônomo,1,Consignado,6567,21,Regular,Não,653
CLI000005,30,Masculino,Solteiro,2,Pós-graduação,7964,Servidor Público,10,Veículo,29831,47,Bom,Não,850
CLI000006,67,Masculino,Casado,0,Superior,3111,Aposentado,0,Pessoal,8212,37,Bom,Não,825
CLI000007,59,Feminino,Casado,0,Fundamental,2117,Servidor Público,30,Pessoal,3754,32,Regular,Não,753
CLI000008,23,Feminino,Solteiro,0,Médio,2545,Servidor Público,1,Cartão,3913,11,Regular,Não,733
CLI000009,57,Feminino,Solteiro,3,Médio,3552,Autônomo,9,Consignado,2376,45,Bom,Não,759
CLI000010,39,Feminino,Solteiro,1,Pós-graduação,8972,Servidor Público,20,Veículo,39748,43,Ruim,Não,600
CLI000011,30,Feminino,Casado,2,Superior,5004,Servidor Público,0,Pessoal,7028,34,Bom,Não,850
CLI000012,48,Feminino,Viúvo,1,Pós-graduação,7347,CLT,2,Consignado,12918,39,Regular,Não,822
CLI000013,69,Masculino,Casado,0,Pós-graduação,5860,Aposentado,0,Cartão,1580,9,Ruim,Não,512
CLI000014,52,Feminino,Divorciado,0,Pós-graduação,8292,Servidor Público,7,Cartão,5211,8,Bom,Não,850
CLI000015,19,Masculino,Casado,1,Médio,2094,CLT,0,Pessoal,3708,34,Ruim,Sim,330
CLI000016,62,Masculino,Divorciado,0,Médio,1577,Autônomo,17,Consignado,3335,14,Regular,Não,627
CLI000017,29,Masculino,Casado,1,Médio,2118,Autônomo,0,Pessoal,5218,21,Bom,Sim,612
CLI000018,42,Feminino,Casado,3,Pós-graduação,8587,Servidor Público,21,Consignado,18014,38,Regular,Não,850
